Year,GrandPrix,Driver,FP1_best,FP1_mean,FP1_std,FP2_best,FP2_mean,FP2_std,FP3_best,FP3_mean,FP3_std,track_evolution,AirTemp,TrackTemp,Humidity,Rainfall,Team,quali_best,Driver_enc,Team_enc,GrandPrix_enc
2023,Australian Grand Prix,ALB,79.766,80.58166666666666,0.9828234158111335,81.182,81.182,,78.553,79.34283333333333,0.9385106108439433,1.213000000000008,15.20421052631579,22.71263157894737,53.4,1,Williams,77.609,0,9,0
2023,Australian Grand Prix,ALO,79.317,82.2088888888889,1.7737770043359795,78.887,79.65700000000001,1.0889444430272877,77.727,79.889875,2.2785489390963605,1.5899999999999892,15.20421052631579,22.71263157894737,53.4,1,Aston Martin,77.139,1,3,0
2023,Australian Grand Prix,BOT,80.419,81.69099999999999,0.8525894674460857,80.312,81.489,1.4965778741292874,78.809,79.9065,0.8514948619927218,1.6099999999999994,15.20421052631579,22.71263157894737,53.4,1,Alfa Romeo,78.714,2,0,0
2023,Australian Grand Prix,DEV,79.933,81.472,1.0703870016649708,80.6,80.896,0.5031908186761784,79.092,80.08066666666667,1.0431980956015348,0.8410000000000082,15.20421052631579,22.71263157894737,53.4,1,AlphaTauri,78.335,3,1,0
2023,Australian Grand Prix,GAS,79.646,81.3982,1.718447031479295,80.206,80.944,0.8518196209683501,78.094,79.64571428571428,1.838121116274778,1.5520000000000067,15.20421052631579,22.71263157894737,53.4,1,Alpine,77.574,4,2,0
2023,Australian Grand Prix,HAM,79.223,80.33940000000001,1.0464966794022816,80.323,80.776,0.3991353154006813,78.138,79.71755555555555,1.3760576033646903,1.0849999999999937,15.20421052631579,22.71263157894737,53.4,1,Mercedes,77.104,5,7,0
2023,Australian Grand Prix,HUL,79.806,82.09514285714285,1.7681262613825068,80.194,80.798,0.8541849916733483,78.41,80.1836,1.7790801836904355,1.3960000000000008,15.20421052631579,22.71263157894737,53.39999999999999,1,Haas F1 Team,77.412,6,5,0
2023,Australian Grand Prix,LEC,79.378,81.42542857142858,1.5714829362890375,79.332,79.81766666666667,0.4276801764558872,78.691,80.59514285714285,1.9358508403775534,0.6869999999999976,15.20421052631579,22.71263157894737,53.4,1,Ferrari,77.369,8,4,0
2023,Australian Grand Prix,MAG,81.147,82.6195,1.3948986821032294,81.266,81.266,,79.056,79.95039999999999,0.8660752276794451,2.091000000000008,15.20421052631579,22.71263157894737,53.4,1,Haas F1 Team,78.129,9,5,0
2023,Australian Grand Prix,NOR,79.536,80.26,0.7263002134104021,80.176,80.83433333333333,1.0380791556202906,79.146,81.250625,1.0389704983437078,0.39000000000000057,15.20421052631579,22.71263157894737,53.4,1,McLaren,78.119,10,6,0
2023,Australian Grand Prix,OCO,80.175,81.862,1.6267663806284118,79.725,80.16799999999999,0.5647981940481086,77.938,79.55877777777778,1.3993287478089058,2.2369999999999948,15.20421052631579,22.71263157894737,53.4,1,Alpine,77.768,11,2,0
2023,Australian Grand Prix,PIA,79.777,81.16533333333332,1.0603842070997964,80.38,80.86433333333333,0.7089050241981181,78.713,80.11449999999999,1.127834232303468,1.0640000000000072,15.20421052631579,22.71263157894737,53.4,1,McLaren,78.517,13,6,0
2023,Australian Grand Prix,RUS,79.699,81.54755555555555,1.787988891961516,79.672,81.27733333333333,1.5800560327617093,77.955,80.2903,1.5260676444887877,1.7439999999999998,15.20421052631579,22.71263157894737,53.4,1,Mercedes,76.968,15,7,0
